PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
355,eem380-ec-7,NL,COMC,GAS,0.55,5,1,0.031027778,0.031027778,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
355,eem220-ec-4,NL,COMC,GAS,0.55,5,1,0.031114206,0.031114206,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
355,eem220-ec-3,NL,COMC,GAS,0.55,5,1,0.031114206,0.031114206,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
355,eem380-ec-6,NL,COMC,GAS,0.55,5,1,0.031114206,0.031114206,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
260,Centrale Lage Weide,NL,COMC,GAS,0.55,5,1,0.045222672,0.045222672,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
220,RoCa,NL,COMC,GAS,0.55,5,1,0.050772727,0.050772727,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
231,Swentibold,NL,COMC,GAS,0.55,5,1,0.053444976,0.053444976,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
430,GDFSUEZ_NL_EC-22 1,NL,COMC,GAS,0.55,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
430,GDFSUEZ_NL_EC-22 2,NL,COMC,GAS,0.55,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
430,GDFSUEZ_NL_EC-22 3,NL,COMC,GAS,0.55,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
64.3,Pergen 2,NL,COMC,GAS,0.525,5,1,0.108446602,0.108446602,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
64.3,Pergen 1,NL,COMC,GAS,0.525,5,1,0.108446602,0.108446602,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
122,Den Haag,NL,COMC,GAS,0.55,5,1,0.099732143,0.099732143,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
103,Merwedekanaal 11,NL,COMC,GAS,0.55,5,1,0.108446602,0.108446602,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
1355,ds_PHOT_NL,NL,PHOT,SUN,1,0,0,0.629811057,0.629811057,0,0,0,0,1,0,0,,,,,,
180,ds_WTOF_NL,NL,WTOF,WIN,1,0,0,0.562248996,0.562248996,0,0,0,0,1,0,0,,,,,,
3251,ds_WTON_NL,NL,WTON,WIN,1,0,0,0.044378698,0.044378698,0,0,0,0,1,0,0,,,,,,
400,ds_Biomass_NL,NL,STUR,BIO,0.45,8,6,0.012562814,0.012562814,2000,0,0,0.2,0.45,7,0,,,,,,
491,ds_Gas_NL,NL,COMC,GAS,0.525,5,1,0.001314118,0.001314118,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
602,Gelderland 13,NL,STUR,HRD,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
145.2,Bergum 30,NL,COMC,GAS,0.525,5,1,0.085923077,0.085923077,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
630,Hemweg 8,NL,STUR,HRD,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
435,Hemweg 9,NL,COMC,GAS,0.59,5,1,0.024495614,0.024495614,117242.17,0,0,0.4,0.395,1,0.45,,,,,,
144,Ijmuiden GT1,NL,GTUR,GAS,0.4,5,1,0.085923077,0.085923077,112542.12,0,0,0.2,0.525,1,0.65,,,,,,
645,Amer 81,NL,STUR,HRD,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
350,Akzo Delesto CC-2,NL,COMC,GAS,0.525,5,1,0.031114206,0.031114206,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
2776,EVs,NL,BEVS,OTH,0.95,0,0,1,1,0,0,0,0,0.95,0,0,,,5553,0,2276,0.95
